CASENUM,VE_FORMS,VEH_NO,PER_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,STR_VEH,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,SCH_BUS,MAKE,BODY_TYP,MOD_YEAR,MAK_MOD,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,DRINKING,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,HOSPITAL,P_SF1,P_SF2,P_SF3,LOCATION,SEX_IM,INJSEV_IM,EJECT_IM,PERALCH_IM,SEAT_IM,AGE_IM,PSUSTRAT,WEIGHT
201800381338,4,1,1,4,56,208,208,1,9,0,1,8,0,12,1,0,12,4,2015,12023,0,0,0,0,12,0,48,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,48,20,187.19330791
201800381338,4,2,1,4,56,208,208,1,9,0,1,8,0,12,1,0,37,14,2010,37402,0,0,0,0,6,0,43,2,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,2,0,0,0,11,43,20,187.19330791
201800381338,4,3,1,4,56,208,208,1,9,0,1,8,0,12,1,0,34,14,2007,34402,0,0,0,0,6,0,37,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,37,20,187.19330791
201800381338,4,4,1,4,56,208,208,1,9,0,1,8,0,12,1,0,69,9,2007,69054,0,0,0,0,6,0,67,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,67,20,187.19330791
201800381366,3,1,1,4,56,214,214,1,7,0,1,14,45,12,1,0,49,9,2007,49046,0,0,0,0,12,0,32,2,1,1,11,3,0,20,0,0,0,0,996,8,0,0,0,0,0,2,1,0,0,11,32,20,149.78733649
201800381366,3,2,1,4,56,214,214,1,7,0,1,14,45,12,1,0,49,9,2016,49032,0,0,0,0,6,0,46,2,1,0,11,3,0,9,7,0,8,95,995,0,0,0,0,0,0,2,0,0,0,11,46,20,149.78733649
201800381366,3,3,1,4,56,214,214,1,7,0,1,14,45,12,1,0,82,66,1999,82881,1,0,0,0,6,0,52,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,52,20,149.78733649
201800381374,2,1,1,4,56,214,214,1,6,0,1,17,46,12,7,0,49,34,2005,49482,0,0,0,0,83,0,34,1,1,1,11,3,0,20,0,0,8,95,995,0,0,0,0,0,0,1,1,0,0,11,34,20,76.42125785
201800381374,2,1,2,4,56,214,214,1,6,0,1,17,46,12,7,0,49,34,2005,49482,0,0,0,0,83,0,24,1,2,0,13,3,0,20,0,8,0,0,996,8,0,0,0,0,0,1,0,0,0,13,24,20,76.42125785
201800381374,2,2,1,4,56,214,214,1,6,0,1,17,46,12,7,0,20,5,2017,20026,0,0,0,0,61,0,31,1,1,1,11,3,0,20,0,0,8,95,995,0,0,0,0,0,0,1,1,0,0,11,31,20,76.42125785
201800383118,2,1,1,4,56,209,209,1,10,0,1,11,44,12,6,0,54,4,9999,54399,0,0,0,0,5,0,998,8,1,9,11,98,0,98,7,9,8,95,995,9,8,0,0,0,0,1,1,0,0,11,16,20,265.23227327
201800383118,2,2,1,4,56,209,209,1,10,0,1,11,44,12,6,0,20,9,2009,20037,0,0,0,0,12,0,52,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,52,20,265.23227327
201800383942,2,1,1,4,64,306,64,1,6,0,1,16,25,12,7,0,12,34,2007,12481,0,0,0,0,62,0,73,1,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,73,23,78.134540153
201800383942,2,2,1,4,64,306,64,1,6,0,1,16,25,12,7,0,7,15,2016,7422,0,0,0,0,5,0,46,2,1,0,11,3,0,20,7,0,8,95,995,0,0,0,0,0,0,2,0,0,0,11,46,23,78.134540153
201800383942,2,2,2,4,64,306,64,1,6,0,1,16,25,12,7,0,7,15,2016,7422,0,0,0,0,5,0,11,1,2,1,23,3,0,20,0,8,0,0,996,8,0,0,0,0,0,1,1,0,0,23,11,23,78.134540153
201800383966,2,1,1,4,56,189,189,1,10,0,1,14,35,12,7,0,20,48,9999,20499,0,0,0,0,61,0,44,1,1,0,11,3,0,20,0,0,8,95,995,0,0,0,0,0,0,1,0,0,0,11,44,20,265.23227321
